"Priority","Modified","DateReported","Category","Contract_x0020_No","Supplier","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod","HT_x0020_Recommendation"
"Low","2022-05-16","2022-05-13","2022-05-13","682","Cardinal","????UPDATE 5/13 Products Affected UpdatedPhlebotomy Containers (8900SA & 8900MW) ) Products are in production. Cardinal is expecting full recovery on both codes by October, anticipating new business in January 2023All other containers ? October 2022  Sharps Container Hardware experiencing delays on select container hardware items due to continued challenges in the resin market and general labor market, Working to decrease leadtimes where possible ? October 2022    ","No official letter communicated. Information received via supplier.","UPDATE 5/13:
Due to labor and raw material shortages, Cardinal continues to see rolling backorders across the portfolio, but have been able to restart production on 95% of the items that were previously in hibernated status. Cardinal will continue to restart production on additional codes through May 2022, until its full portfolio is back in production. At this time, Cardinal is not able to take on new business as they have seen improvements with labor but continue to experience capacity constraints.","Manufacturing Delays from Third Party Vendor, Labor Shortages","Alternatives Recommended by Supplier","??Award Summary Clinical Resource - Sharps Safety Education?Clinical Resource - Sharps Container Conservation","Containers - Sharps - Disposable and Hardware","Please work with your Cardinal Health sales representative to identify suggested alternatives from the products that have remained in production. Cardinal will be able to take on new business and additional volumes in March 2022."
"Retire/Resolved","2022-06-23","2021-10-26","2021-10-26","560405616277371?","Vyaire, Amsino, Teleflex","No reported issues at present","No official letter communicated. Information received via supplier.","No reported issues at present","Not Selected","Not Selected","?Award SummaryClinical Resource - Clinical Evidence","Sterile Water","?No issues at present."
"Critical","2022-06-02","2022-05-13","2022-05-13","4684","Cardinal","?Guardian Suction Canisters Flex Advantage CRD","UPDATE 5/13 Cardinal Letter - April 28?Cardinal Letter - January 24","CRITICAL ISSUE:
Production of Cardinal Health suction canisters was disrupted due to machinery performance, as well as labor shortages at Cardinal's Jacksonville, Texas, manufacturing plant. Available labor was impacted in January due to the pandemic but has now improved. Performance on the CRD line is expected to be optimized by Fall 2022 after new machinery is installed. Current equipment will be monitored daily with maintenance deployed as needed. 
UPDATE: Estimated Recovery Dates: 
Guardian Canister Series: Rolling shipments through Summer 2022. 
CRD Canister Series: Rolling shipments through Fall 2022.","Equipment Disruption, Labor Shortages","Member Communication, Clinical Alternatives","??Award SummaryClinical Resource - Suction Canister Conservation","Suction Canisters - Liners and Related Supplies","?Please work with your local Cardinal representative for supply updates."
"High","2022-05-16","2022-05-13","2022-05-13","6959","Medline","Various SKUs","No official letter communicated. Information received via supplier.","Medline suction tubing is currently on allocation to protect stock for our current customers from the impacts of global supply chain disruptions. 
UPDATE 5/13: Cardinal experiencing rolling backorders through Fall 2022.                                                                    ","Not Specified - Global Supply Challenges","Non-Contracted Alternatives, Spot Buy, Purchase Allocation","Award Summary?","Suction Tubing & Tips (Yankauers - Frazier - Poole)","?Please work with your local Medline representative for supply updates."
"High","2022-06-23","2021-12-10","2021-12-10","6935","O&M Halyard","25867 Level 1 FLUIDSHIELD * Procedure Mask, SO SOFT* Lining and Earloops, Yellow                                                     25868 Level 1 FLUIDSHIELD * Procedure Mask, SO SOFT* Lining and Earloops, Lavender                                       28797 Level 3 FLUIDSHIELD * Procedure Mask, Fog-Free Foam Strip, Orange                                                          32856 Non-Fluid Procedure Mask, SO SOFT* Lining, Child, Disney? Characters, Ages 4-12                            41802 Level 1 FLUIDSHIELD * Procedure Mask, Fog-Free Foam Strip, SO SOFT* Lining, White                              47080 Non-Fluid Procedure Mask, Blue                                                     47107 Level 3 FLUIDSHIELD * Procedure Mask, Fog-Free Foam Strip, SO SOFT* Lining, Orange                                                                               47117 Non-Fluid Procedure Mask, Yellow                        62115 Level 2 FLUIDSHIELD * Procedure Mask, Blue","O&M Halyard Letter","O&M Halyard is initiating an order management on a subset of facemask products effective December 6, 2021 due to an extended demand for face masks.","Not Selected","Not Selected","Award SummaryAward SummaryClinical Resource - Differentiating Masks?","Surgical Masks - Procedural and Facial Protection","?Please work with your local O&M Halyard representative for supply updates."
"Medium","2022-05-16","2022-05-13","2022-05-13","3256","3M","?UPDATE 5/13DuraPrep Surgical Prepping Solution 8630, 26 mL not on backorder but at riskDuraPrep Surgical Prepping Solution 8635m 6 mL","No official letter communicated. Information received via supplier.","UPDATE 5/13: 
8630 is currently not in backorder, however could go back into backorder if demand continues to be high due to competitor backorder.
","Not Specified - Global Supply Challenges, Demand Fluctuations","Clinical Alternatives","?Award SummaryClinical Resource - PFS?","No cross posted","?Please work with your local 3M representative for supply updates. "
"Low","2022-05-04","2022-04-29","2022-04-29","3117","3M","3M Micropore Surgical Tape","3M Letter","3M is experiencing intermittent supply issues for 3M? Coban? NL Non-Latex Self-Adherent Wraps, 3M? Coban? Self-Adherent Wraps (Latex Containing), and 3M? Micropore? Surgical Tape and these products will be on intermittent backorder through Q1 2023","Not Specified - Global Supply Challenges, Shipping Delays","Alternatives Recommended by Supplier","Award Summary?","Tape - Surgical and Specialty Bandages","?See substitutions provided in letter."
"Low","2022-06-23","2022-06-07","2022-06-07","??496","Zimmer","Multiple SKUs impacted, see letter for alternatives","Zimmer Letter - 6/2022Zimmer Letter - 9/2021","UPDATE 6/7: Zimmer provided an updated letter with updated resolution time of Q4. Please see letter for impacted SKUs. Zimmer is having a rolling backorder on a number of their tourniquet cuffs.  Zimmer recommended alternatives will be cost neutral.  Please see attached document for additional information.

UPDATE 5/13: Zimmer Biomet is experiencing a rolling backorder on multiple tourniquet cuffs.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier, Non-Contracted Alternatives","Award Summary?","??Tourniquets, Pneumatic, Equipment and Supplies","?See alternative products provided in supplier letter."
"Medium","2022-05-04","2022-04-29","2022-04-29","827","3M","UPDATE 4/29?Product Catalog Numbers Being Discontinued1620 - discontinue date immediate1621 - discontinue date immediate1634 - discontinue date 6/30/20229505W - discontinue date 6/30/20229506W - discontinue date 6/30/2022","UPDATE 4/29 ??3M Letter","UPDATE 4/29: 
3M is discontinuing some transparent film dressings. They have provided suggested alternatives in their most recent letter.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","Award Summary?","Adhesive Dressings and Securement Devices","See alternative products provided in supplier letter."
"Medium","2022-06-23","2021-10-26","2021-10-26","361","BBraun","All trays inside label.","?B Braun Letter","Management availability of Drug ID Syringe labels has been impacted due to supply chain challenges.  B Braun will continue to produce their regional anesthesia trays however the labels will not be included within their trays.  The lid of the tray will contain notification that no label is present.","Not Specified - Global Supply Challenges","Member Communication, Clinical Alternatives","","Trays - Anesthesia and Pain Management","?Communicate the supplier letter to your impacted personnel."
"Low","2022-05-16","2022-05-13","2022-05-13","7387","Medline","UPDATE 5/13 Products Affected UpdatedDisposable Underpads MSC281226C  Sub MSC281229C May 2022 MSC282030LBC  Sub MUP2000F May 2022 MSC282045  Sub MUP1266P May 2022Bariatric BriefsMTB80500  May 2022MTB80600 May 2022MTB084 June 2022BARIBRIEFC June 2022BARIBRIEF June 2022BARIBRIEFPLUS June 2022","No official letter communicated. Information received via supplier.","UPDATE 5/13:
Disposable Underpads: 
Reason for disruption is vendor delay and demand increase. Get well date is May 2022                                                           

Bariatric briefs: Reason for disruption is vendor delays due to labor shortages, other supply chain challenges. Get well target is June 2022                                                                                   ","Raw Material Shortage, Shipping Delays, Demand Fluctuations, Labor Shortages","Alternatives Recommended by Supplier","Award Summary?","Underpads and Adult Briefs (Disposable)","?Please work with your local Medline representative for supply updates. "
"Retire/Resolved","2022-05-04","2021-11-05","2021-11-05","22296","Terumo","ANGIO-SEAL? VIP Vascular Closure Device","Terumo Letter","Terumo is currently experiencing a supply constraint on ANGIO-SEAL? VIP Vascular Closure Device. For the months of November and December only, Terumo will be reducing monthly shipments by 50 percent. Full shipments are expected to resume in January 2022.","Not Specified - Global Supply Challenges","Member Communication, Contracted Alternatives","?Award? SummaryClinical Resource - Vascular Closure Clinical EvidenceClinical Resource - Vascular Closure PFS","Vascular Closure Devices",""
"Retire/Resolved","2022-06-23","0001-01-01","0001-01-01","6022","Greiner","","","1-2 weeks on hand, no communication from Greiner or ERD","Not Selected","Not Selected","","","?Work with your local Greiner representative for supply updates. "
"Retire/Resolved","2022-06-23","0001-01-01","0001-01-01","?214","Bard","A119214M","","no supply, Bard suggest 16FR alt A119216M.  14FR wont be available until December","Not Selected","Non-Contracted Alternatives","","","?Please work with you local BD/Bard representative for supply updates and recommended product substitutions if necessary. "
"Retire/Resolved","2022-06-23","0001-01-01","0001-01-01","?214","Bard","A339416A","","no supply, Bard suggest A319416AM - similar alt. with different outlet.","Not Selected","Not Selected","","","Please work with you local BD/Bard representative for supply updates and recommended product substitutions if necessary."
"Retire/Resolved","2022-02-17","2021-11-11","2021-11-11","77329","International Biomedical","989805637451 (2mL) / 989805603401 (15mL)","","Sweet Ease 2mL and 15mL Backorder, expected delivery second week of December - Talked with National rep - Christine Drewry","Not Selected","Not Selected","","",""
"Retire/Resolved","2022-02-16","2021-11-22","2021-11-22","847","BD","Many","","Trinity Indicated backorders and desire for crosses with other contracted vendors - backorder will last a while","Not Selected","Not Selected","","Safety Blood Collection",""
"Retire/Resolved","2022-02-16","2021-12-06","2021-12-06","1351","Smiths Medical","","","Carroll County was told that Smiths has a hold on shipping and implementation of their Medfusion syringe pumps.  Brandon Brown, Smiths Medical, doesn't have any updates on this issue.","Not Selected","Not Selected","","?Infusion Pumps - Solutions and Sets","Please work with your local Smiths Medical representative for supply updates or product recommendations."
"Retire/Resolved","2022-02-16","2021-12-09","2021-12-09","1331","Masimo","4628, 3824, 4453","","Franciscan Alliance reached out directly to Masimo for assistance to find subs","Not Selected","Not Selected","","?Pulse Oximetry Capnography Equipment and Supplies","?Please work with your local Masimo representative for supply updates and recommended alternatives. "
"Retire/Resolved","2022-02-16","2021-12-08","2021-12-08","7678","BBraun","E8000, L8002, L8206","","BBraun said they are moving some codes to allocation on this call.  Customer subbed in at a significantly higher price ICU product.  Resolution was to potential dropship from Braun until Medline is replinished.","Not Selected","Not Selected","","?Infusion Pumps, Sets, Solutions and Needless Products",""
"Retire/Resolved","2022-06-01","2021-12-10","2021-12-10","4684","Cardinal","All SKUs","","All SKUs on backorder, seeking recommendations for conservation or alternate use","Labor Shortages, Equipment Disruption","Member Communication","?Award SummaryClinical Resource - Suction Canister Conservation","?Suction Canisters - Liners and Related Supplies","Please work with your local Cardinal representative for supply updates."
"Retire/Resolved","2022-02-16","2021-12-14","2021-12-14","2590","Quidel","20387","","Per Tower Health, COVID Antigen tests are on allocation and need to explore other sources due to Demand.  Trying to confirm if Abbott is a contracted option.   They also received an unsolicited email from company called Conscendo Medical Products suggesting they have supply available of Abbott BinaxNOW test kits.","Not Selected","Not Selected","","",""
"Retire/Resolved","2022-02-16","2021-12-16","2021-12-16","45700","Livanova","Multiple","","Per SP ""Because of the national blood shortage our utilization in cell saver has escalated. We are now finding that canisters are on back order so we have a significant shortage""","Demand Fluctuations","Contracted Alternatives","?Award SummaryClinical Resource - Blood Conservation","","Consider blood conservation strategies."
"Retire/Resolved","2022-02-16","2021-12-20","2021-12-20","990","BD","MBC6000","","Backorders on Luer Lock device needle holder, adapters, and blood transfer devices -","Not Selected","Not Selected","","?Infusion Pumps Solution Set and Needles Products",""
"Retire/Resolved","2022-02-17","2021-12-20","2021-12-20","753","Cardinal","11460-010T, MH00002T","","Backorders on Cardinal Heel Warmers - Until March 2022","Not Selected","Not Selected","?Award SummaryClinical Resource - Heel Warmer Clinical Evidence?","","Please work with your local Cardinal representative for supply updates."
"Retire/Resolved","2022-02-16","2021-12-09","2021-12-09","847","BD","36490200","","luer lock vacutainer transfer devices","Not Selected","Not Selected","","?Safety Blood Collection",""
"Retire/Resolved","2022-02-16","2021-12-22","2021-12-22","1351","Smiths Medical","21-7106-24, 21-7108-24, 21-7308-24, 21-7309-24, 21-7345-24, 21-7346-24","","Smith advises member they are in a difficult spot to provide on inventory and alternatives provided were on back order also.  Seeking recommendations.","Not Selected","Not Selected","","?Infusion Pumps - Solutions and Sets","Please work with your local Smiths Medical representative for supply updates or product recommendations."
"Retire/Resolved","2022-06-23","0001-01-01","0001-01-01","807","Teleflex","100181040 & others","","concordance pulling inventory from other DCs to ship emergency supply","Not Selected","Not Selected","","",""
"Medium","2022-02-23","2022-02-18","2022-02-18","??3310?","Abbott","??Various SKUs","??Abbott Letter","Abbott (#3322, #3041, #3310, #3059, #3320) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders. Abbott will have individual line items come on and off backorder between the backorder start date and the resolution dates listed. Abbott anticipates the supply disruption completely resolved by the resolution dates. The temporary pacing catheters are an industry-wide backorder, therefore, a cross reference has been provided.","Raw Material Shortage, Labor Shortages","Contracted Alternatives, Non-Contracted Alternatives","Award Summary?","Balloons - Cardiac","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"Retire/Resolved","2022-05-16","2022-05-13","2022-05-13","??3301","Abbott","UPDATE 5/13 RESOLVED??Various SKUs","?Abbott Letter","Abbott (#3333, #3280, and #3301) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders.","Raw Material Shortage, Labor Shortages","Contracted Alternatives, Non-Contracted Alternatives","?Award Summary?Clinical Evidence - Balloons PeripheralPFS - Balloons Peripheral","?Balloons - Peripheral","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"High","2022-06-01","2022-05-13","2022-05-13","?65558","3M","??14500 3M Ranger Pressure Infusor 24500 3M? Ranger? Blood/Fluid Warming UnitUPDATE 4/29 3M receiving intermittent supply of 24500 and fulfilling orders when they have stock. ","3M Letter","UPDATE 4/29: 3M receiving intermittent supply of 24500 and fulfilling orders when they have stock. 

Due to component supply challenges 3M is having supply constraints on catalog number 14500, 3M Ranger pressure infusor.  3M is also experiencing a backorder of the 3M Ranger Blood/Fluid warming units catalog number 24500, 3M Ranger Blood/Fluid Warming unit.  ","Component Disruption","Contracted Alternatives, Non-Contracted Alternatives","??Award SummaryClinical Alternatives - Blood and Fluid WarmingClinical Resource - Blood and Fluid Warming PFSClinical Resource - Patient Temperature Management PFSClinical Resource - Patient Temperature Management Evidence","?Blood/Fluid Warming Equipment and Supplies","?Please work with your local 3M Representative for supply updates and product recommendations. "
"Medium","2022-02-18","2022-02-18","2022-02-18","??3322","Abbott","?Various SKUs","?Abbot Letter","Abbott (#3322, #3041, #3310, #3059, #3320) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders. Abbott will have individual line items come on and off backorder between the backorder start date and the resolution dates listed. Abbott anticipates the supply disruption completely resolved by the resolution dates. The temporary pacing catheters are an industry-wide backorder, therefore, a cross reference has been provided.","Labor Shortages, Raw Material Shortage","Contracted Alternatives","Award Summary?","?Cardiac Diagnostic and Interventional Guidewires","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"High","2022-05-16","2022-05-13","2022-05-13","?3333?","Abbott","?UPDATE 5/13Amplatzer Vascular PlugBackorders will be experienced throughAVP I - May 2022AVP II - August 2022 AVP 4 - July 2022Back orders for all other items on Abbott contract #3333 have been resolved.","?Abbott Letter","Abbott (#3333, #3280, and #3301) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders.","Not Specified - Global Supply Challenges, Demand Fluctuations","Contracted Alternatives","Award Summary?","?Carotid Stents and Embolic Protection","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"Low","2022-04-06","2022-04-06","2022-04-06","?199","Medline","??Castile Soap MDS001005 May 2022","?No official letter communicated. Information received via supplier.","Castile soap has low stock due to domestic production delays","Manufacturing Delays from Third Party Vendor","Non-Contracted Alternatives, Clinical Alternatives","Award Summary?","?No cross posted","?Please work with your local Medline representative for supply updates or substitute product recommendations. "
"Medium","2022-06-17","2022-06-17","2022-06-17","?74223","Medline","UPDATE 6/17 Several Medline and Hudson branded soft cannula codes have been removed from allocation. See below for codes that remain on 100% allocationHCSS4514SHCSS4504SHCSU4514SHCSU4516SHCS245E","?No official letter communicated. Information received via supplier.","UPDATE 6/17:
Codes remain on allocation                                              Infant Nasal CPAP:   
? Hudson Infant Nasal CPAP sets; HUD1690, HUD1691, HUD1692, HUD1693, HUD1694, and HUD1695 are on backorder
? There will be intermittent backorders from March until August 2022 as product continues to come in                                                                                      

Large Volume Nebulizers:  Due to competitive market disruption, Medline Hudson large volume nebulizers are on reverse limited allocation. Allocation was loaded for all users with sales history between January 2021 and March 2021.                                HUD04128, HUD04000, HUD04428, HUDRHP728U, and HUD03700","Not Specified - Global Supply Challenges","Purchase Allocation, Contracted Alternatives","Award Summary?","?Respiratory, Oxygen Delivery Devices","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"Medium","2022-05-16","2022-05-13","2022-05-13","?3059","Abbott","UPDATE 5/13 Temp Pacing Flow Direct Catheters back order continues through Sept 2022.  Temp Pacing BiPolar Catheters back order continues through Aug 2022","?Abbott Letter","Abbott (#3322, #3041, #3310, #3059, #3320) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders. Abbott will have individual line items come on and off backorder between the backorder start date and the resolution dates listed. Abbott anticipates the supply disruption completely resolved by the resolution dates. The temporary pacing catheters are an industry-wide backorder, therefore, a cross reference has been provided.","Raw Material Shortage, Labor Shortages","Purchase Allocation, Contracted Alternatives","Award Summary?","?Leads and Accessories","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"Retire/Resolved","2022-06-23","2022-05-13","2022-05-13","?3280","Abbott","?Various SKUs","Abbott Letter","Abbott (#3333, #3280, and #3301) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders.","Raw Material Shortage, Labor Shortages","Contracted Alternatives, Non-Contracted Alternatives","?Award Summary?","?Non-Cardiac Stents","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"Medium","2022-02-18","2022-02-18","2022-02-18","?3320","Abbott","?Various SKUs","?Abbott Letter","Abbott (#3322, #3041, #3310, #3059, #3320) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders. Abbott will have individual line items come on and off backorder between the backorder start date and the resolution dates listed. Abbott anticipates the supply disruption completely resolved by the resolution dates. The temporary pacing catheters are an industry-wide backorder, therefore, a cross reference has been provided.","Raw Material Shortage, Labor Shortages","Contracted Alternatives","Award Summary?","?Sheaths and Introducers - Vascular","?Please work with your local Abbott Medical Representative for supply updates or product recommendations. "
"Medium","2022-02-18","2022-02-18","2022-02-18","?3041","Abbott","?Various SKUs","?Abbott Letter","Abbott (#3322, #3041, #3310, #3059, #3320) has been impacted by COVID?s effects on the global economy as a result of raw material constraints, inflation, and other economic challenges associated with workforce health and well-being. The products listed on the backorder report are rolling backorders. Abbott will have individual line items come on and off backorder between the backorder start date and the resolution dates listed. Abbott anticipates the supply disruption completely resolved by the resolution dates. The temporary pacing catheters are an industry-wide backorder, therefore, a cross reference has been provided.","Labor Shortages, Raw Material Shortage","Contracted Alternatives","Award Summary?","?Stents, Coronary, Bare Metal","?Please work with your local Abbott Medical Representative for supply updates or product recommendations."
"High","2022-05-16","2022-05-13","2022-05-13","?49997","Cardinal","?Various SKUs","?No official letter communicated. Information received via supplier.","UPDATE 5/13: Cardinal is experiencing rolling backorders on select suction tubing and handles codes as a result of raw material availability and transportation delays. They are working with their supply partners to expedite shipments and accelerate receipt of material into their manufacturing plants. Connector supply health has improved and several SKUs have recovered. Recovery on Yankauer SKUs has been delayed until November due to raw material shortages. ","Raw Material Shortage, Shipping Delays","Clinical Alternatives","Award Summary?","?Suction Tubing & Tips (Yankauers - Frazier - Poole)","?Please work with your local Cardinal representative for supply updates. "
"Retire/Resolved","2022-05-04","2022-03-01","2022-03-01","?2884","Avanos Medical","??MIC*G codes backordered 0100-14LV, 8100-16LV, 8100-18, and 8100-20Avanos does carry a full line of low-profile tubes, MIC-KEY* G, which could be used in place of the MIC* G tube.Suggestions for substitutions have been provided in the letter, however (per Avanos), please use your clinical judgment when recommending an alternate code.","?Letter will be communicated in 3/1/22 Response","Due to unforeseen circumstances with its silicone supply, will experience a continued backorder on some of their MIC* G codes. ","Raw Material Shortage","Alternatives Recommended by Supplier","Award Summary?","?Enteral Feeding Tubes - Adults","?Please work with your local Avanos Sales Representative for supply updates and alternatives."
"Medium","2022-03-07","2022-03-08","2022-03-08","?2644?","Olympus America","??Endoscopic ultrasound processors, including the EU-ME2 and ARIETTA 850","?Olympus Letter - February 18, 2022","Olympus is experiencing rolling backorders on all ultrasound processors for the foreseeable future.","Manufacturing Delays from Third Party Vendor","Member Communication, Non-Contracted Alternatives","Award Summary?","?No Cross Provided","?Please work with your Olympus sales representative for updates on orders."
"Medium","2022-05-04","2022-03-04","2022-03-04","??44256?","Baxter","??GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 60MG/50ML 2B0851 GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 80MG/50ML 2B0852 GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 100MG/50ML 2B0853 GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 80MG/100ML 2B0862 GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 100MG/100ML 2B0863
GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 120MG/100ML 2B0864
LIDOCAINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION 2gram/250ML (8mg/ml)
2B0962 LIDOCAINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION 2gram/500ML (4mg/ml)
2B0973","?Baxter Letter","Baxter has implemented a protective allocation for Gentamicin and Lidocaine codes listed. The 100% allocation will be based on historical orders placed between July 2021 ? December 2021. Any quantity ordered that exceeds the allocation will be automatically cancelled","Demand Fluctuations","Clinical Alternatives, Purchase Allocation","Award Summary?","?Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-03-22","2022-03-15","2022-03-15","?5107","Nestle Infant Nutrition","?Gerber Good Start GentlePro Nursers 6(8x3oz) 5000002318  ","?No official letter communicated. Information received via supplier. ","Backorder due to global glass shortage impacting production. Please order the functional replacement for impacted product: Gerber Good Start GentlePro Tetra Pack, Product Code 5000056892","Raw Material Shortage","Alternatives Recommended by Supplier","Award Summary?","?Nutritionals and Formula - Infant and Pediatric","?Please order the functional replacement for impacted product Gerber Good Start GentlePro Tetra Pack, Product Code 5000056892"
"Critical","2022-06-01","2022-06-01","2022-06-01","?23491","Blood Centers of America","?Fresenius Kabi blood bag","?BAC Letter","There is a current shortage of the Fresenius Kabi manufactured ?BioFlex? blood bags. The America's Blood Centers and Blood Centers of America members project
that 10-15% of all whole blood collections are impacted by this shortage.  The blood bag shortage situation is a result of pandemic-related factors, primary of which is the impact
of Omicron on the Fresenius Kabi labor force, which kept capacity in December at 67%. Fresenius Kabi
has improved capacity since December to 83% by hiring more people (26 added to the line), increasing
incentives, and reducing turnover and absenteeism in their Puerto Rico manufacturing plant.","Labor Shortages, Manufacturing Delays from Third Party Vendor","Member Communication, Clinical Alternatives","?Award SummaryClinical Resource - AABB Extending B?lood Supply TipsClinical Resource - Blood Conservation","?No cross posted","??Please refer to letter for additional information, and to resources around blood conservation strategies."
"High","2022-05-16","2022-05-13","2022-05-13","?37377","Vitalant","?Fresenius Kabi blood bag ","?Vitalant Letter","The blood bag shortage is a result of COVID-19-related staffing and labor force issues, specifically affecting the Fresenius Kabi manufactured ?BioFlex? blood bags. Fresenius Kabi was heavily impacted by the omicron variant of COVID-19 in December and has been steadily working to improve their staffing levels to increase manufacturing capacity. Unfortunately, the existing stock of blood bags was severely depleted since they were not able to keep up with demand.","Labor Shortages, Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Member Communication","?Award Summary?Clinical Resource - AABB Extending Blood Supply Tips","?No cross posted.","????Please refer to letter for additional information, and to resources around blood conservation strategies."
"Medium","2022-05-16","2022-05-13","2022-05-13","?64700","Boston Scientific","?Expel drainage catheters","?UPDATE 5/13Boston Scientific Letter - Substitutions","UPDATE 5/13: 
Following the backorder notification in March 2022, Boston Scientific has decided to discontinue manufacturing the Expel drainage catheters as of May 2022. Inventory remains available on some of the product codes and Boston Scientific will continue to support those through their expiration date.","Product Discontinuation","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","?Peripheral Interventional Drain Catheters","??Please work with your local Boston Scientific representative for supply updates and recommendations. "
"Critical","2022-06-06","2022-06-06","2022-06-06","??2833","Olympus America","?3/8? (#23116) and ?? Tubing (BKT-506)Disposa-Filter (#54298)SafeTouch Collection System (#003984-901, #003987-901, BKC-506)Vacurettes  VC-10 Capital","?UPDATED 6/6/22Olympus Letter ","Olympus is experiencing rolling backorders on VC-10 Disposable Devices for the foreseeable future.","Demand Fluctuations, Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Alternatives Recommended by Supplier","??Award SummaryClinical Resource - Alternative? PracticesClinical Resource - Tis-U-Trap ReviewClinical Resource - Manual Vacuum AspiratorClinical Resource - Manual Vacuum Aspirator Comparison","?No cross posted","Refer to alternative products provided in supplier letter.??Please work with your Olympus sales representative for updates on orders."
"Low","2022-06-17","2022-06-17","2022-06-17","?369","Medline","??UPDATE 6/17 Possible substitutes - PCS1550 or PCS1650 - sharedProducts Affected DYND40570RDI30295DYND1000MLWDYND1000MLS  HUDRHUDS9U","?No official letter communicated. Information received via supplier.","Supply Disruption - No specifics shared","Not Specified - Global Supply Challenges","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","?Kits - Suction and Trach Care and Related Supplies","?Please work with your local Medline representative for supply updates or substitute product recommendations."
"Medium","2022-05-04","2022-04-06","2022-04-06","?75861","Medline","DYNJAA04DYNJAA05DYNJAA06DYNJAA11DYNJAA15DYNJAA18DYNJAA22","?No official letter communicated. Information received via supplier.","Gas sampling lines inventory will be below 30 days of stock and Medline will experience rolling backorders over the next few months.? Expecting to be healthy by July.","Not Specified - Global Supply Challenges","Contracted Alternatives","Award Summary?","?Respiratory, Ventilator Circuits","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"Low","2022-05-16","2022-05-13","2022-05-13","?817","Merit","?Various SKUs identified in letter","?Merit Letter - April 7, 2022","Merit is instituting a product substitution that they will be implementing immediately. This substitution is necessary due to a global shortage of a component used in the manufacturing of the Merit HPF contrast injection tubing.","Manufacturing Delays from Third Party Vendor","Alternatives Recommended by Supplier, Contracted Alternatives","Award Summary?","?No cross posted","?Please work with your local Merit sales representative. "
"Medium","2022-05-23","2022-05-23","2022-05-23","?244","Immucor","?Phix, product code 0005070","Immucor Letter - May 2022","UPDATE 5/20/22: Immucor Inc is currently experiencing a supply disruption with pHix (Phosphate Buffered Concentrate), product code #0005070 due to ongoing global supply chain issues. As of May 15, 2022, Immucor has depleted their inventory. Please refer to the attached technical communication regarding pHix alternatives.","Raw Material Shortage","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","?No cross posted","?Please work with your local blood bank business manager or customer service at (855) 466-8267."
"Low","2022-05-16","2022-05-13","2022-05-13","?3978","Terumo","?164275X Disposable centrifugal pump with Xcoating?surface coating","?Terumo Letter","Terumo is having a temporary supply interruption and is unable to supply single-sterile iCP centrifugal pumps for the short-term. ","Not Specified - Global Supply Challenges","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","?Perfusion Supplies","?Please work with your local Terumo sales representative for supply updates."
