"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"High","2022-05-13","2022-05-16","Suction Tubing &amp; Tips (Yankauers - Frazier - Poole)","<div class=""ExternalClass2205683234664FC8B89D9848F3FEA684""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/49997"" title=""?49997"">?49997</a><br></div></div>","<div class=""ExternalClass32FDF70AD2BB471A9BF94254D6817CF6""><div>?Various SKUs<br></div></div>","<div class=""ExternalClassFF03B5B4E92A49BF80B4536C93BEE2D7""><div>?No official letter communicated. Information received via supplier.<br></div></div>","UPDATE 5/13: Cardinal is experiencing rolling backorders on select suction tubing and handles codes as a result of raw material availability and transportation delays. They are working with their supply partners to expedite shipments and accelerate receipt of material into their manufacturing plants. Connector supply health has improved and several SKUs have recovered. Recovery on Yankauer SKUs has been delayed until November due to raw material shortages. ","Raw Material Shortage, Shipping Delays","Clinical Alternatives","<div class=""ExternalClassE6E36CA92128423986C66666C90543A9""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?49997"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass236C921EC1A64E4DAC2D5F1618400A2F""><div>?<a href=""https://members.healthtrustpg.com/contracts/?49997"" title=""Suction Tubing &amp; Tips (Yankauers - Frazier - Poole)"">Suction Tubing &amp; Tips (Yankauers - Frazier - Poole)</a><br></div></div>"
"Retire/Resolved","2022-03-01","2022-05-04","Enteral Feeding Tubes","<div class=""ExternalClassFD69B2DABD2B45499D0BBA1D8088083E""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/2884"" title=""?2884"">?2884</a><br></div></div>","<div class=""ExternalClass7E6F8B93B9154F24936F12ACCE827BE8""><div><span style=""color&#58;black;"">?</span>?<span>MIC*G codes backordered 0100-14LV, 8100-16LV, 8100-18, and 8100-20<p>Avanos does carry a full line of low-profile tubes, MIC-KEY* G, which could be used in place of the MIC* G tube.<br></p></span></div><div><span>Suggestions for substitutions have been provided in the letter, however (per Avanos), please use your clinical judgment when recommending an alternate code.</span><br></div></div>","<div class=""ExternalClass5803867CDD8D4AA0A61A0F0956BDCA1E""><div>?Letter will be communicated in 3/1/22 Response<br></div></div>","Due to unforeseen circumstances with its silicone supply, will experience a continued backorder on some of their MIC* G codes. ","Raw Material Shortage","Alternatives Recommended by Supplier","<div class=""ExternalClassADCF03026D3643D69034EBE43DAF05A5""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?2884"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassC2C27F3E31BE4F68B141C1CA8ACCA6E7""><div><a href=""https://members.healthtrustpg.com/contracts/?2884"" title=""?Enteral Feeding Tubes - Adults"">?Enteral Feeding Tubes - Adults</a><br></div></div>"
"Medium","2022-03-08","2022-03-07","Endoscopy - GI Scopes and Accessories","<div class=""ExternalClassB9DF6E0896EB45BBBACE51ED01B5060D""><div><span style=""color&#58;black;"">?<a href=""https&#58;//members.healthtrustpg.com/contracts/2644"" title=""2644"">2644</a></span>?<br></div></div>","<div class=""ExternalClass5F580C1D794447E69B7D1F60EAC13700""><div><span style=""color&#58;black;"">?</span>?Endoscopic ultrasound processors, including the EU-ME2 and ARIETTA 850<br></div></div>","<div class=""ExternalClass6FCE138757034A55850C7DA4A846B9C2""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/10A8310A500E40A28B07F14B44ADCADC.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=205723137&amp;_hsenc=p2ANqtz-9hQB9UUXpdW2jpu3Az7qrZPCgxPc6Gv2j5MSTjoMiE8VEmhrEl4PlUGbEsUY6sC4WHkkEBoeU8dU25aursgbkCIFE"" title=""?Olympus Letter - February 18, 2022"">?Olympus Letter - February 18, 2022</a><br></div></div>","Olympus is experiencing rolling backorders on all ultrasound processors for the foreseeable future.","Manufacturing Delays from Third Party Vendor","Member Communication, Non-Contracted Alternatives","<div class=""ExternalClassA87964A3A4824DA787909B09B312C3A1""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?2644?"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassE4E77AD226A546B6A933D4586B99C0CC""><div>?No Cross Provided<br></div></div>"
"Medium","2022-03-04","2022-05-04","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass99FC4742E10D4DF69015DED76939750D""><div><span style=""color&#58;black;""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""??44256"">??44256</a></span>?<br></div></div>","<div class=""ExternalClass055E6A864A7346C6862D604D7FA304D6""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><span style=""color&#58;black;"">?</span>?</div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 60MG/50ML 2B0851 </div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 80MG/50ML 2B0852 </div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 100MG/50ML 2B0853 </div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 80MG/100ML 2B0862 </div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 100MG/100ML 2B0863
</div><div>GENTAMICIN SULFATE IN 0.9% SODIUM CHLORIDE INJECTION 120MG/100ML 2B0864
</div><div>LIDOCAINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION 2gram/250ML (8mg/ml)
2B0962 </div><div>LIDOCAINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION 2gram/500ML (4mg/ml)
2B0973</div><div><br></div></div>","<div class=""ExternalClassFC22C77357DB4AFBB9BF77673474EDF1""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/37872B631B43482D8A07CE935D8443E3.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=205340845&amp;_hsenc=p2ANqtz-9a-TI5rH00WqRVVL7jWcnAIOHw0ibei-N2Rg3CmBUVKWx7YZu5dUt34XOzvb8Va2QiH2v-Px-Gpp77iKK0_LuABZK"" title=""?Baxter Letter"">?Baxter Letter</a><br></div></div>","Baxter has implemented a protective allocation for Gentamicin and Lidocaine codes listed. The 100% allocation will be based on historical orders placed between July 2021 ? December 2021. Any quantity ordered that exceeds the allocation will be automatically cancelled","Demand Fluctuations","Clinical Alternatives, Purchase Allocation","<div class=""ExternalClass74A7808B237C4342BE107D0D0922DE99""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/??44256?"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassDE5CE2AEEBD54CEB90AB99D12B1B70C3""><div><a href=""https://members.healthtrustpg.com/contracts/??44256?"" title=""?Infusion Pumps, Sets, Solutions and Needleless Products"">?Infusion Pumps, Sets, Solutions and Needleless Products</a><br></div></div>"
"Medium","2022-03-15","2022-03-22","Nutritionals and Formula - Infant and Pediatric","<div class=""ExternalClassC9EE0B7E9E8B4B7C85DF37FD77FC411D""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/5107"" title=""5107"">5107</a><br></div></div>","<div class=""ExternalClass2840410578E2426385EC90F456838D0C""><div>?Gerber Good Start GentlePro Nursers 6(8x3oz) 5000002318 &#160;<br></div></div>","<div class=""ExternalClassEC83CE827E5B4511A0265086BA23630E""><div>?No official letter communicated. Information received via supplier. <br></div></div>","Backorder due to global glass shortage impacting production. Please order the functional replacement for impacted product: Gerber Good Start GentlePro Tetra Pack, Product Code 5000056892","Raw Material Shortage","Alternatives Recommended by Supplier","<div class=""ExternalClass628E3918AC0D4F8A8C72CCDB43B7C838""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?5107"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassC78F0992C6B24F659A6A9FED936BD8E5""><div>?<a href=""https://members.healthtrustpg.com/contracts/?5107"" title=""Nutritionals and Formula - Infant and Pediatric"">Nutritionals and Formula - Infant and Pediatric</a><br></div></div>"
"High","2022-05-13","2022-05-16","Blood Products and Services","<div class=""ExternalClass1F0D1F8AD8524F33A37A8925EC827FC3""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/23491"" title=""23491"">23491</a><br></div></div>","<div class=""ExternalClass2B96A6A0965841C7AE808DC9AC13B072""><div>?Fresenius Kabi blood bag<br></div></div>","<div class=""ExternalClass11AD2E7645894EF6B4370E5D11242F8C""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/0E070DBEA48A4A77B666C99A2E5432A6.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=206413211&amp;_hsenc=p2ANqtz-8hYP3hmCm-GHblKxFNP07J0XnqjBZ0aiHic_Ja7hupOHy8fcR41R7b9BJ0Un4JBi_bIbtEffZRGAEnpdRA2jgB5L2"" title=""?BAC Letter"">?BAC Letter</a><br></div></div>","There is a current shortage of the Fresenius Kabi manufactured ?BioFlex? blood bags. The America&#39;s Blood Centers and Blood Centers of America members project
that 10-15% of all whole blood collections are impacted by this shortage.  The blood bag shortage situation is a result of pandemic-related factors, primary of which is the impact
of Omicron on the Fresenius Kabi labor force, which kept capacity in December at 67%. Fresenius Kabi
has improved capacity since December to 83% by hiring more people (26 added to the line), increasing
incentives, and reducing turnover and absenteeism in their Puerto Rico manufacturing plant.","Labor Shortages, Manufacturing Delays from Third Party Vendor","Member Communication, Clinical Alternatives","<div class=""ExternalClass23FEEA8E74794F71B54D4AE28913F07C""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?23491"" title=""Award Summary"">Award Summary</a></li><li><a href=""https&#58;//www.aabb.org/docs/default-source/default-document-library/regulatory/extending-the-blood-supply-10-tips-for-hospitals.pdf?sfvrsn=418f8b26_0"" title=""Clinical Resource - AABB Extending B?lood Supply Tips"">Clinical Resource - AABB Extending B?lood Supply Tips</a></li></ul></div></div>","<div class=""ExternalClass97AC994459794C1ABB86C98FC7361312""><div>?No cross posted<br></div></div>"
"High","2022-05-13","2022-05-16","Blood Products and Services","<div class=""ExternalClassA440A389C2774167ABC2B5CB5298EF41""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/37377"" title=""37377"">37377</a><br></div></div>","<div class=""ExternalClass3B743574856E4038BF6029DF0D263A68""><div>?Fresenius Kabi blood bag <br></div></div>","<div class=""ExternalClass7BA16841950E415D927BC44839875FEA""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/3A646F5920A74F82A153BCA85B491C21.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=206413211&amp;_hsenc=p2ANqtz--gn_RDQIBa4fMMrtKZ2Gp07CUAl74DYIRfWh-E9jK7OWZGUH1zU9-yvhoU0g5NgmfSYUfJlg3xm8gsoIo7erucwqP"" title=""?Vitalant Letter"">?Vitalant Letter</a><br></div></div>","The blood bag shortage is a result of COVID-19-related staffing and labor force issues, specifically affecting the Fresenius Kabi manufactured ?BioFlex? blood bags. Fresenius Kabi was heavily impacted by the omicron variant of COVID-19 in December and has been steadily working to improve their staffing levels to increase manufacturing capacity. Unfortunately, the existing stock of blood bags was severely depleted since they were not able to keep up with demand.","Labor Shortages, Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Member Communication","<div class=""ExternalClassB924252031F245AF99752509A562291D""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?37377"" title=""Award Summary""><span style=""color&#58;black;"">?</span>Award Summary</a></li><li><a href=""https&#58;//www.aabb.org/docs/default-source/default-document-library/regulatory/extending-the-blood-supply-10-tips-for-hospitals.pdf?sfvrsn=418f8b26_0"" title=""?Clinical Resource - AABB Extending Blood Supply Tips"">?Clinical Resource - AABB Extending Blood Supply Tips</a></li></ul></div></div>","<div class=""ExternalClassD50979839EE641A5BBB57C02F09B257C""><div>?No cross posted.<br></div></div>"
"Medium","2022-05-13","2022-05-16","Peripheral Interventional Drain Catheters","<div class=""ExternalClass512692ECCAC940F2915120FFD0F1F03D""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/64700"" title=""64700"">64700</a><br></div></div>","<div class=""ExternalClassDBF4563075504DB29B223FB78F1FFE8E""><div>?Expel drainage catheters<br></div></div>","<div class=""ExternalClass3778340A5E3C458DA00BEA751F36466A""><div>?UPDATE 5/13&#58;<p><a href=""https&#58;//portal.healthtrustpg.com/-/media/C3BB802247EE4795872A0FC3D5CA4B0C.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212468361&amp;_hsenc=p2ANqtz-8oYJZCcrutL8-F2PHzDlazat9hBd7UDex3ZGcBQ_oUmJaorVRBckYRQAAVLhAXUliImpVmAfsi3l8loFpy0hnJvde"" title=""Boston Scientific Letter - Substitutions"">Boston Scientific Letter - Substitutions</a></p><br></div></div>","UPDATE 5/13: 
Following the backorder notification in March 2022, Boston Scientific has decided to discontinue manufacturing the Expel drainage catheters as of May 2022. Inventory remains available on some of the product codes and Boston Scientific will continue to support those through their expiration date.","Product Discontinuation","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass1A1541C0699845048F25EACA1D623E5E""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?64700"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass63877C9C6F0B4CB78F9BCBC13C825F93""><div><a href=""https://members.healthtrustpg.com/contracts/?64700"" title=""?Peripheral Interventional Drain Catheters"">?Peripheral Interventional Drain Catheters</a><br></div></div>"
"Critical","2022-05-13","2022-05-16","Endoscopy, General, GYN, and Urology","<div class=""ExternalClass8F0250C7478F44B3BF73C0BF8D17A585""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/2833"" title=""??2833""><span style=""color&#58;black;"">?</span>?2833</a><br></div></div>","<div class=""ExternalClassF930955D88E44EEDA1B99AEC4E9FB3FB""><div>?3/8? (#23116) and ?? Tubing (BKT-506)</div><div>Disposa-Filter (#54298)<br></div><div>SafeTouch Collection System (#003984-901, #003987-901, BKC-506)</div><div>Vacurettes&#160;&#160;</div><div>VC-10 Capital<br></div></div>","<div class=""ExternalClass649FB1A10ACE4CA78F576D30A8EA8324""><div>UPDATED 4/15/22&#58;&#160;&#160;<a href=""https&#58;//portal.healthtrustpg.com/-/media/FE3F2C9ADE634668AF0BB5DBBD43B24C.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210049827&amp;_hsenc=p2ANqtz-9EQtf8ngOrSNyqpkfrdbjE8-WSeFhIjF2fSFb8PQGebGZv0S_wNbCGqV7nvfbFp3IxilCduIlmy2v9Bk6G0npWUor"" title=""??Olympus Letter""><span style=""color&#58;black;"">?</span>?Olympus Letter</a><br></div></div>","Olympus is experiencing rolling backorders on VC-10 Disposable Devices for the foreseeable future.","Demand Fluctuations, Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClassF5F20FF0AA8547C088D794C4075AC1ED""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/??2833"" title=""Award Summary""><span style=""color&#58;black;"">?</span>Award Summary</a></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/2833.DCDE.suction.canisters.tubing_FINAL.pdf?csf=1&amp;web=1&amp;e=gXqS5Q"" title=""Clinical Resource - Alternative? Practices"">Clinical Resource - Alternative? Practices</a></li><li><a href=""https&#58;//documentcloud.adobe.com/spodintegration/index.html?r=1&amp;locale=en-us"" title=""Clinical Resource - Tis-U-Trap Review"">Clinical Resource - Tis-U-Trap Review</a></li><li><a href=""https&#58;//documentcloud.adobe.com/spodintegration/index.html?r=1&amp;locale=en-us"" title=""Clinical Resource - Manual Vacuum Aspirator"">Clinical Resource - Manual Vacuum Aspirator</a></li><li><a href=""https&#58;//documentcloud.adobe.com/spodintegration/index.html?r=1&amp;locale=en-us"" title=""Clinical Resource - Manual Vacuum Aspirator Comparison"">Clinical Resource - Manual Vacuum Aspirator Comparison</a></li></ul></div></div>","<div class=""ExternalClass2C5F1C2EE37048B2A32CB4EDD70C60F2""><div>?No cross posted<br></div></div>"
"Low","2022-05-13","2022-05-16","Kits - Suction and Trach Care and Related Supplies","<div class=""ExternalClass222660B40CA84A0AB6ADFBB537EE7B57""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/369"" title=""369"">369</a><br></div></div>","<div class=""ExternalClass6487A792A463464CBBDB0887C80E1FA7""><div>?UPDATE 5/13&#58; Possible substitutes -&#160;PCS1550 or PCS1650 - shared<br></div><div><div><br></div><div>Products Affected&#58;&#160;</div></div><div>?RDI30296</div><div>DYND40570</div><div>DYND40540<br></div><div>RDI30295<br></div><div>DYND500MLS<br></div><div>DYND500MLW<br></div><div>DYND1000MLW<br></div><div>DYND1000MLS&#160;&#160;</div><div><br></div><div><br></div></div>","<div class=""ExternalClass373D92F996824E07B80BB9C83D84D392""><div>?No official letter communicated. Information received via supplier.<br></div></div>","Supply Disruption - No specifics shared","Not Specified - Global Supply Challenges","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass2AE5EA64B6C34A05BF5CC4315F231C06""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?369"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass6FEE8EA4ACA94C59859A0FC1E088CD03""><div><a href=""https://members.healthtrustpg.com/contracts/?369"" title=""?Kits - Suction and Trach Care and Related Supplies"">?Kits - Suction and Trach Care and Related Supplies</a><br></div></div>"
"Medium","2022-04-06","2022-05-04","Respiratory, Ventilator Circuit Products","<div class=""ExternalClass76A2F80F5DAD410B9901784D18C2AFFC""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/75861"" title=""?75861"">?75861</a><br></div></div>","<div class=""ExternalClassC0AC5A4AF9B6416292F82FB361C68403""><div>DYNJAA04<p>DYNJAA05</p><p>DYNJAA06</p><p>DYNJAA11</p><p>DYNJAA15</p><p>DYNJAA18</p><p>DYNJAA22<br></p></div></div>","<div class=""ExternalClassE7059E87C6B1403B8EB02CF19ADEAB01""><div>?No official letter communicated. Information received via supplier.<br></div></div>","Gas sampling lines inventory will be below 30 days of stock and Medline will experience rolling backorders over the next few months.? Expecting to be healthy by July.","Not Specified - Global Supply Challenges","Contracted Alternatives","<div class=""ExternalClass8DC7E7285E464C41BE179C6F77A0004F""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?75861"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass5AB776A9C41E4946B95F1725D9733B7A""><div><a href=""https://members.healthtrustpg.com/contracts/?75861"" title=""?Respiratory, Ventilator Circuits"">?Respiratory, Ventilator Circuits</a><br></div></div>"
"Low","2022-05-13","2022-05-16","Angiography, Manifolds, Kits and Related Supplies","<div class=""ExternalClassD6A4944E4F28471783B5C6728A485CEE""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/817"" title=""?817"">?817</a><br></div></div>","<div class=""ExternalClass139AD72B272A4BD390713B8A28D3CB7C""><div>?Various SKUs identified in letter<br></div></div>","<div class=""ExternalClass55B97DBFA26444D489732DE029317E01""><div><a href=""https&#58;//portal.healthtrustpg.com/%20-/media/612F72D6219C422DA04C5C0D82F7C1A1.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210335620&amp;_hsenc=p2ANqtz-9oAv7gfdLPdrjH6N1T2qdJC7x1G9E0BzFKsI1PLpFK8gJF0opKjAQwtuBAo8Wnk1emGGC46VVnx1TF5OX6oqO8"" title=""?Merit Letter - April 7, 2022"">?Merit Letter - April 7, 2022</a><br></div></div>","Merit is instituting a product substitution that they will be implementing immediately. This substitution is necessary due to a global shortage of a component used in the manufacturing of the Merit HPF contrast injection tubing.","Manufacturing Delays from Third Party Vendor","Alternatives Recommended by Supplier, Contracted Alternatives","<div class=""ExternalClassC5440B44679E4BECA81078D787B342BD""><ul><li><a href=""https://members.healthtrustpg.com/contracts/?817"" title=""Award Summary?"">Award Summary?</a></li></ul></div>","<div class=""ExternalClass6ADDB79CD6E94A0CA858F5FC6844C434""><div>?No cross posted<br></div></div>"
"Medium","2022-05-23","2022-05-23","Blood Bank Testing","<div class=""ExternalClass3CC09FC5B9974F1498DD1AE2D91ABB23""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/244"" title=""244"">244</a><br></div></div>","<div class=""ExternalClass513F55BBDAC248AAAA899D793F84E4E9""><div>?Phix, product code 0005070<br></div></div>","<div class=""ExternalClassB4A7E9A608C4487382EC6009C1363D3A""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/E1D2DCB1719B437E9A35B20D9FA67891.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=213670876&amp;_hsenc=p2ANqtz-942nspeeBMENNE-qJMxs8H34JsJ6rNKjKaNStja3MPktRvW4hJyFnPYFrnj16POYpHh6JBTkiibn9kmsJdgPkKQRu"" title=""Immucor Letter - May 2022"">Immucor Letter - May 2022</a></div></div>","UPDATE 5/20/22: Immucor Inc is currently experiencing a supply disruption with pHix (Phosphate Buffered Concentrate), product code #0005070 due to ongoing global supply chain issues. As of May 15, 2022, Immucor has depleted their inventory. Please refer to the attached technical communication regarding pHix alternatives.","Raw Material Shortage","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass15A43BD4C5974DB8A20E0D06F04395A5""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?244"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassA8961318F6F24D4FB17B9286FC1D0B1D""><div>?No cross posted<br></div></div>"
"Low","2022-05-13","2022-05-16","Perfusion Supplies","<div class=""ExternalClassF012B9425AAD4BFC922F2358D1EDEE9B""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/3978"" title=""?3978"">?3978</a><br></div></div>","<div class=""ExternalClass2E577C4F1CAB42418DAFE617BFB99EB3""><div>?164275X Disposable centrifugal pump with Xcoating?surface coating<br></div></div>","<div class=""ExternalClass6DA5A58AB6C143799D80371367248117""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/1CCF63B70AA4447891EA428BB87D3736.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=209316677&amp;_hsenc=p2ANqtz-_Z0l3ElrMHsjjzXeDl_d2Hm1nTQO1nNBh71QiXM2v863D63vcfpiASbjGpZP2JFelZndt752_yfyuz1KyoS0ylXDj"" title=""?Terumo Letter"">?Terumo Letter</a><br></div></div>","Terumo is having a temporary supply interruption and is unable to supply single-sterile iCP centrifugal pumps for the short-term. ","Not Specified - Global Supply Challenges","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass9413613C629B49C78F4E6F9122E7042E""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?3978"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass3724BB42179740F69CD7140D94F06731""><div><a href=""https://members.healthtrustpg.com/contracts/?3978"" title=""?Perfusion Supplies"">?Perfusion Supplies</a><br></div></div>"
"Medium","2022-04-27","2022-05-04","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass8CE1E3E7D5C44A35B144478303762ED0""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""?44256"">?44256</a><br></div></div>","<div class=""ExternalClass92CCCD62EE2546DDADEB442C708EFD1C""><div>?ExactaMix valve set<br></div></div>","<div class=""ExternalClassF4043166CBA3492A8D2A0F1D1090E2E1""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/5966A1D64FDC4C1C8F53CD6D1FF8CE87.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210710527&amp;_hsenc=p2ANqtz--f00uaTbUNpdgeZhfcpl8I39qe6PwyN_msc-s-IUThhcWJBjJM2QhvLV7Y25ko1e9uYJlvQrWTdfjadHw7D1QYWfN"" title=""?Baxter Letter"">?Baxter Letter</a><br></div></div>","Baxter is placing additional limits on the ExactaMix valve set and setting the allocation at 65%. Allocation amounts for selected amino acids are being increased to 125%. ?","Raw Material Shortage","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass001C66051AA44792970F5E5DAA3BCCC4""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass2AD865623ADC461F83B1D22EE3360995""><div><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""?Infusion Pumps, Sets, Solutions and Needleless Products"">?Infusion Pumps, Sets, Solutions and Needleless Products</a><br></div></div>"
"Medium","2022-05-04","2022-05-04","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassD8F29E4A64DF4D9A961E4B5903A35E4F""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""?44256"">?44256</a><br></div></div>","<div class=""ExternalClass6D48BDFC7F784B64B344BE7AEA44F761""><div>#2B0944 Heparin Sodium in 0.9% sodium chloride injection 1000ML&#160; &#160;<p><br></p>#AHB0953U Heparin Sodium in 0.9% sodium chloride injection 500ML <br></div></div>","<div class=""ExternalClassC7C63A35ABB24205A88C525F3961FFB4""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/245ED4B9E363471AB48DA20B5A0C8A31.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=211766916&amp;_hsenc=p2ANqtz--l8coaYiF4mSZBwsbetLidlutrlqNXaPc-Xun6cc6fUzhM__IcDwsbSKCt8gysdrG5L5hUZBjSNdJKUCD11900Kz5"" title=""?Baxter Letter"">?Baxter Letter</a><br></div></div>","Baxter is implementing a 100% allocation for the premix Heparin products.","Demand Fluctuations","Purchase Allocation","<div class=""ExternalClassD6D31786365F4BDCAC6B58CF6A56201E""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassCC06CD50484F4440AABADDC61ED88D48""><div><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""?Infusion Pumps, Sets, Solutions and Needleless Products""><span style=""color&#58;black;"">?</span>?Infusion Pumps, Sets, Solutions and Needleless Products</a>&#160;<br></div></div>"
